Award Name,Award Number,year_of_award,Name,Nationality,Birthplace,date_of_birth,Anscestry,Faith,sexual_orientation,Movie,movie_genre,movie_type,IMDB_rate,RottenTomatoesCritics_rate,RottenTomatoesPublic_rate
Best Actor,32,1959,Charlton Heston,American,US,4-Oct-1923,European,Protestant,Straight,Ben-hur,Epic religious drama,film,8.1,0.87,0.89
Best Director,33,1960,Billy Wilder,American,Austria,22-Jun-1906,European,Jewish,Straight,The Apartment,Romantic comedy,film,8.3,0.94,0.94
Best Actress,33,1960,Elizabeth Taylor,British-American,England,27-Feb-1932,European,Jewish,Straight,Butterfield 8,Drama,film,6.4,0.47,0.57
Best Actor,33,1960,Burt Lancaster,American,US,2-Nov-1913,European,Atheist,Straight,Elmer Gantry,Drama,film,7.8,0.97,0.86
Best Director,34,1961,Jerome Robbins,American,US,11-Oct-1918,European,Jewish,Bisexual,West Side Story,Romantic tragedy,musical,7.6,0.94,0.84
Best Director,34,1961,Robert Wise,American,US,10-Sep-1914,European,Na,Straight,West Side Story,Romantic tragedy,musical,7.6,0.94,0.84
Best Actress,34,1961,Sophia Loren,Italian-Fencch,Italy,20-Sep-1934,European,Roman Catholic,Straight,Two Women,Drama,film,7.9,0.88,0.91
Best Actor,34,1961,Maximilian Schell,Swiss,Austria,8-Dec-1930,European,Roman Catholic,Straight,Judgement at Nuremberg,Courtroom drama,film,8.2,0.90,0.93
Best Director,35,1962,David Lean,English,England,25-Mar-1908,European,Quakers,Straight,Lawrence of Arabia,Epic historical,film,8.3,0.98,0.93
Best Actress,35,1962,Anne Bancroft,American,US,17-Sep-1931,European,Roman Catholic,Straight,The Miracle Worker,Biographic,film,8.1,1.00,0.88
Best Actor,35,1962,Gregory Peck,American,US,5-Apr-1916,European,Roman Catholic,Straight,To Kill a Mockingbird,Drama,film,8.3,0.91,0.92
Best Director,36,1963,Tony Richardson,English,England,5-Jun-1928,European,Na,Bisexual,Tom Jones,Adventure comedy,film,6.6,0.84,0.58
Best Actress,36,1963,Patricia Neal,American,US,20-Jan-1926,European,Roman Catholic,Straight,Hud,Western,film,7.9,0.85,0.89
Best Actor,36,1963,Sidney Poitier,Bahamas-American,Bahamas,20-Feb-1927,Afro-American,Agnostic,Straight,Lilies of the Field,Drama,film,7.6,0.90,0.86
Best Director,37,1964,George Cukor,American,US,7-Jul-1899,European,Na,Gay,My Fair Lady,Drama,musical,7.9,0.96,0.90
Best Actress,37,1964,Julie Andrews,English,England,1-Oct-1935,European,Na,Straight,Mary Poppins,fantaisy,musical,7.8,1.00,0.86
Best Actor,37,1964,Rex Harrison,English,England,5-Mar-1908,European,Na,Straight,My Fair Lady,Drama,musical,7.9,0.96,0.90
Best Director,38,1965,Robert Wise,American,US,10-Sep-1914,European,Na,Straight,The Sound of Music,Drama,musical,8.0,0.85,0.91
Best Actress,38,1965,Julie Christie,British,India,14-Apr-1940,European,Protestant,Straight,Darling,Drama,film,7.2,0.70,0.71
Best Actor,38,1965,Lee Marvin,American,US,19-Feb-1924,European,Na,Straight,Cat Ballou,Comedy,musical,6.9,1.00,0.74
Best Director,39,1966,Fred Zinnemann,American,Austria,29-Apr-1907,European,Jewish,Straight,A Man for All Seasons,Biographical drama,film,7.8,0.81,0.87
Best Actress,39,1966,Elizabeth Taylor,British-American,England,27-Feb-1932,European,Jewish,Straight,Who's Afraid of Virginia Woolf?,black comedy,film,8.0,0.95,0.91
Best Actor,39,1966,Paul Scofield,English,England,21-Jan-1922,European,Na,Straight,A Man For All Seasons,Biographical drama,film,7.8,0.81,0.87
Best Director,40,1967,Mike Nichols,American,Germany,6-Nov-1931,European,Jewish,Bisexual,The Graduate,Romantic comedy,film,8.0,0.89,0.90
Best Actress,40,1967,Katharine Hepburn,American,US,12-May-1907,European,Atheist,Bisexual,Guess Who's Coming to Dinner,Comedy ,film,7.8,0.70,0.85
Best Actor,40,1967,Rod Steiger,American,US,14-Apr-1925,European,Protestant,Straight,In the Heat of the Night,mystery drama,film,8.0,0.96,0.93
Best Director,41,1968,Carol Reed,English,England,30-Dec-1906,European,Na,Straight,Oliver!,Drama,musical,7.5,0.81,0.81
Best Actress,41,1968,Barbra Streisand,American,US,24-Apr-1942,European,Jewish,Straight,Funny Girl,Biographic,musical,7.6,0.93,0.85
Best Actress,41,1968,Katharine Hepburn,American,US,12-May-1907,European,Atheist,Bisexual,The Lion in Winter,Historical drama,film,8.1,0.92,0.90
Best Actor,41,1968,Cliff Robertson,American,US,9-Sep-1923,European,Protestant,Straight,Charly,Drama,film,7.1,0.71,0.61
Best Director,42,1969,John Schlesinger,English,England,16-Feb-1926,European,Jewish,Gay,Midnight Cowboy,Drama,film,7.9,0.90,0.88
